year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile
2025,SIT,Singapore Institute of Technology,Bachelor of Science with Honours in Applied Artificial Intelligence,65.7,57.1,4501,4500,4618,4550,3850,5320
2025,SIT,Singapore Institute of Technology,Bachelor of Science with Honours in Diagnostic Radiography,100.0,92.4,3909,3900,4092,4000,3900,4275
2025,SIT,Singapore Institute of Technology,Bachelor of Science with Honours in Dietetics and Nutrition,100.0,92.0,3975,4000,3976,4000,3850,4050
2025,SIT,Singapore Institute of Technology,Bachelor of Science with Honours in Digital Communications and Integrated Media,89.8,69.4,3665,3600,3776,3675,3400,4010
2025,SIT,Singapore Institute of Technology,Bachelor of Science with Honours in Digital Supply Chain,90.9,84.8,3882,4000,3994,4080,3800,4200
2025,SIT,Singapore Institute of Technology,Bachelor of Science with Honours in Occupational Therapy,100.0,98.0,3778,3850,3858,3925,3800,4048
2025,SIT,Singapore Institute of Technology,Bachelor of Science with Honours in Physiotherapy,100.0,99.0,4072,4020,4142,4110,3925,4290
2025,SIT,Singapore Institute of Technology,Bachelor of Science with Honours in Speech and Language Therapy,100.0,95.5,3950,3900,3970,3900,3800,4200
2025,SIT,SIT - DigiPen Institute of Technology,Bachelor of Engineering with Honours in Mechatronics Systems,75.8,69.7,4424,4400,4723,4600,4000,5000
2025,SIT,SIT - DigiPen Institute of Technology,Bachelor of Science with Honours in Computer Science in Interactive Media and Game Development,72.1,51.2,4495,4510,4635,4560,4025,5200
2025,SIT,SIT - DigiPen Institute of Technology,Bachelor of Science with Honours in Computer Science in Real-Time Interactive Simulation,90.3,83.9,5119,4900,5227,5000,4660,5500
2025,SIT,SIT - Massey University,Bachelor of Food Technology with Honours,93.9,55.1,3571,3500,3707,3600,3200,4040
2025,SIT,SIT - Newcastle University,Bachelor of Engineering with Honours in Electrical Power Engineering,84.5,73.2,4282,4100,4483,4250,4000,4745
2025,SIT,SIT - Newcastle University,Bachelor of Engineering with Honours in Mechanical Design and Manufacturing Engineering,83.0,72.3,4172,4200,4252,4200,3900,4500
2025,SIT,SIT - Newcastle University,Bachelor of Engineering with Honours in Naval Architecture and Marine Engineering,86.4,77.3,4466,4150,4819,4700,4000,5400
2025,SIT,SIT - University of Glasgow,Bachelor of Engineering with Honours in Aerospace Engineering,74.2,51.6,4807,4200,4925,4400,4000,6000
